,0,1,2,source
12703,hiding in the haze,i can see your white face,hope you na hear my tune,img2poems
12704,once more as i wait,for you night and icy wind,melt into cold rain,img2poems
12705,the daffodil is our doorside queen,she pushes upward the sword already,to spot with sunshine the early green,img2poems
12706,savouring this moment,the world stops spinning around,feeling peace inside,img2poems
12707,in every bush and brake where hap may find,the serpent sleeping in whose mazy folds,to hide me and the dark intent i bring,img2poems
12708,walk around feeling like a leaf,know you could tumble any second,then decide what to do with your time,img2poems
12709,and i will send the scent to you the scent of these nights,which sliced open pass between us,like a river passes between two banks,img2poems
12710,and the shadow of the day,will embrace the world in gray,and the sun will set for you,img2poems
12711,the slick black tarmac,snakes on through,the night,img2poems
12712,in a chapel of sticks,his morning pulpit bright,mastering reddness,img2poems
12713,whose buzzing was the only sound of life,flew there on restless wing,seeking in vain one blossom where to fix,img2poems
12714,nothing to say,nothing to think,i had never known such silence,img2poems
12715,in the australian outback you make do with what you have,when the mike stand went missing at ali curung gospel night,the volunteers stepped up one by one,img2poems
12716,obove the valley of desire,to the peaks of wisdom,my wings will carry you,img2poems
12717,take thy plastic spade,it is thy pencil take thy seeds thy plants,they are thy colours,img2poems
12718,summer grasses,all that remains,of warriors dreams,img2poems
12719,a little walk with dad,waiting,mom went in there,img2poems
12720,one never goes so far,as when one doesn't know,where one is going,img2poems
12721,the light which puts out our eyes is darkness to us only that day dawns to which we are awake,there is more day to dawn,the sun is but a morning star,img2poems
12722,i dropped down and i called out to heaven send me someone to love,heaven shot back: you get the love that you allow,and everything is different now,img2poems
12723,and tulips children love to stretch,their fingers down to feel in each,its beauty's sweet nearer,img2poems
12724,my thoughts are resting,on colourful blossoms yet,free like butterflies,img2poems
12725,rose of all roses rose of all the world,you too have come where the dim tides are hurled,upon the wharves of sorrow and heard ring the bell that calls us on the sweet far thing,img2poems
12726,on my way back home,i pass the bridge of peace,uniting heaven and earth,img2poems
12727,whose buzzing was the only sound of life,flew there on restless wing,seeking in vain one blossom where to fix,img2poems
12728,violets in grass,small purple worlds laughing and,smiling at our feet,img2poems
12729,when you arise in the morning,think of what a precious privilege it is to be alive,to breathe to think to enjoy to love,img2poems
12730,doctors are men who prescribe medicines of which they know little,to cure diseases of which they know less,in human beings of whom they know nothing,img2poems
12731,if we are not happy and joyous at this season,for what other season shall we wait,and for what other time shall we look,img2poems
12732,you must live in the present,launch yourself on every wave,find your eternity in each moment,img2poems
12733,that well by reason men it call may,the daisie or els the eye of the day,the emprise and floure of floures all,img2poems
12734,in magic days and nights,i fly obove my alps,smileing,img2poems
12735,and heaven in a wild flower,hold infinity in the palm of your hand,and eternity in an hour,img2poems
12736,today i fly,im full of love,for myself,img2poems
12737,how i do love thee,oh virtuous untamed lawn,sweet and unfettered,img2poems
12738,on desolation,i was the alonest man,in the world,img2poems
12739,light like a prayer,like a heartbeat through the trees,blessing everything,img2poems
12740,this world,bristles with thorns,yet there are lotuses,img2poems
12741,darkness and light,no longer enemies,play together,img2poems
12742,now every sound at length is hush'd away,these few are sacred moments one more day,drops in the shadowy gulf of bygone things,img2poems
12743,the tree,is calling,my dream,img2poems
12744,a shot that i never uploaded reworked with a texture layer,the first act of awe when man was struck with the beauty,or wonder of nature was the first spiritual experience,img2poems
12745,i am rain falling from the skies,and frozen i fall as snow,i flow toward the sea,img2poems
12746,i'm falling into you,this dream could come true,and it feels so good falling into you,img2poems
12747,twin medusae,hydrozoan symmetry,swaying in tandem,img2poems
12748,one loon wings up,beyond the leaf-lined bridge,my soul in tow,img2poems
12749,the quickest way to receive love is to give,the fastest way to lose love is to hold it too tightly,and the best way to keep love is to give it wings,img2poems
12750,o love o fire once he drew,with one long kiss my whole soul through,my lips as sunlight drinketh dew,img2poems
12751,flawless twilight skies,waning moon midsummer's glow,shines down on us all,img2poems
12752,man cannot discover new oceans,unless he had the courage,to lose sight of the shore,img2poems
12753,vast pallid clouds blue spaces undefiled,room give me room give loneliness and air,free things and plenteous in your regions fair,img2poems
12754,do you remember when we met,that's the day i knew you were my pet,i want to tell you how much i love you,img2poems
12755,perhaps this silent,wanderer fashions flowers,dreamy butterfly,img2poems
12756,and lilies white prepared to touch,the whitest thought nor soil it much,of dreamer turned to lover,img2poems
12757,still downward with capacious whirl they glide,and now i see them on a green hill's side,in breezy rest among the nodding stalks,img2poems
12758,ride boldly ride,the shade replied,if you seek for eldorado,img2poems
12759,flowers plash open,like milk drop coronets,in split second summer,img2poems
12760,i fear no man no woman,flower does not fear,bird insect nor adder,img2poems
12761,lazy the time is spreading its moments,falling asleep among poppy flowers,at its ear a cricket is chirping,img2poems
12762,the camera is an instrument,that teaches people how to see,without a camera,img2poems
