,0,1,2,haiku,lang
9318,refilling the pill box,rain begins to wash,the blossoms away,"refilling the pill box
rain begins to wash
the blossoms away",en
9320,camouflage ,makes him invisible ,homeless vet,"camouflage 
makes him invisible 
homeless vet",en
9322,August heat,the sizzle,of thick cut bacon,"August heat
the sizzle
of thick cut bacon",en
9324,Distant thunder--,the smell of rain,before the storm.,"Distant thunder--
the smell of rain
before the storm.",en
9326,Under the Magnolia,red seeds float away--,November rain.,"Under the Magnolia
red seeds float away--
November rain.",en
9328,april noon,out come the sun,and some slugs,"april noon
out come the sun
and some slugs",en
9330,street garden,again without leaves,faded graffiti,"street garden
again without leaves
faded graffiti",en
9332,school bus,finally round the bend,lighting a cigarette,"school bus
finally round the bend
lighting a cigarette",en
9334,rubber boots,looking for the next,deeper puddle,"rubber boots
looking for the next
deeper puddle",en
9336,rain clouds,basking in the light,of an Ikea lamp,"rain clouds
basking in the light
of an Ikea lamp",en
9338,Day of the Oscars-,in the Spring sun,I plant onions...,"Day of the Oscars-
in the Spring sun
I plant onions...",en
9340,November clouds-,hearing of,my sister's illness...,"November clouds-
hearing of
my sister's illness...",en
9342,after the storm,the wind chimes,realigning,"after the storm
the wind chimes
realigning",en
9344,riding down the escalator,the scent of snow,on damp coats,"riding down the escalator
the scent of snow
on damp coats",en
9346,cracking walnut--,there might be,another universe,"cracking walnut--
there might be
another universe",en
9348,around where the,steppingstone ends off,autumn gone,"around where the
steppingstone ends off
autumn gone",en
9350,from an old temple,to an old temple,autumn wind,"from an old temple
to an old temple
autumn wind",en
9352,hundreds of,gentians blooming--,class reunion,"hundreds of
gentians blooming--
class reunion",en
9354,typhoon passed--,one watering can,in the sandbox,"typhoon passed--
one watering can
in the sandbox",en
9356,typhoon passed--,comes the,local circus,"typhoon passed--
comes the
local circus",en
9358,red dragonflies,gather around the,blind person,"red dragonflies
gather around the
blind person",en
9360,eclipse,the sudden darkness,of her eyes,"eclipse
the sudden darkness
of her eyes",en
9364,rivulets,on a foggy window,the cancer's spread,"rivulets
on a foggy window
the cancer's spread",en
9366,first Christmas,a tiny new stocking,joins the family,"first Christmas
a tiny new stocking
joins the family",en
9368,moonlight,baby's cheek,at breast,"moonlight
baby's cheek
at breast",en
9370,early spring,everything,dripping,"early spring
everything
dripping",en
9372,quitting time,the smell of rain,in the lobby,"quitting time
the smell of rain
in the lobby",en
9374,waves,slowly cresting towards shore,a faint moon,"waves
slowly cresting towards shore
a faint moon",en
9376,rainy bridge-,the river flowing,faster,"rainy bridge-
the river flowing
faster",en
9378,spring breeze-,the balcony's shadows,on my book,"spring breeze-
the balcony's shadows
on my book",en
9380,winter drizzle,all the passing faces look,into the cafe,"winter drizzle
all the passing faces look
into the cafe",en
9382,dwindling bonfire,a shooting star,near Orion,"dwindling bonfire
a shooting star
near Orion",en
9384,cold night-,a plane blinks through,Orion's bow,"cold night-
a plane blinks through
Orion's bow",en
9386,late night at the office,an exit sign floats,next to the moon,"late night at the office
an exit sign floats
next to the moon",en
9388,dark tree silhouettes,low on the horizon,Orion rises,"dark tree silhouettes
low on the horizon
Orion rises",en
9390,earthquake night,Tokyoites walking home,the long Friday,"earthquake night
Tokyoites walking home
the long Friday",en
9392,back to my hometown,blooming with a sweet scent,mom's oriental lilies,"back to my hometown
blooming with a sweet scent
mom's oriental lilies",en
9394,thunder rolling,thinking of my daughter,at the campsite,"thunder rolling
thinking of my daughter
at the campsite",en
9396,frozen blueberries,in a bowl of yogurt,by the fireside,"frozen blueberries
in a bowl of yogurt
by the fireside",en
9398,traffic jam,melting snow runs,on the windshield,"traffic jam
melting snow runs
on the windshield",en
9400,a sunny day,pink haze of the cherry blossoms,over the hill,"a sunny day
pink haze of the cherry blossoms
over the hill",en
9402,the old temple,a snake on the stone step,crawling away,"the old temple
a snake on the stone step
crawling away",en
9404,a shower of falling sparks,neighbors wish,a good year,"a shower of falling sparks
neighbors wish
a good year",en
9406,after the rain,red carpet,under the persimmon tree,"after the rain
red carpet
under the persimmon tree",en
9408,typhoon warning,a farmer on the path,between the rice fields,"typhoon warning
a farmer on the path
between the rice fields",en
9410,the farmer lady,a few daffodils in a basket,of white radish,"the farmer lady
a few daffodils in a basket
of white radish",en
9412,a new year's bonfire,misty rain,on the embers,"a new year's bonfire
misty rain
on the embers",en
9414,scent of lilies,orange pollen,on my white sweater,"scent of lilies
orange pollen
on my white sweater",en
9416,crisp morning air,a bird left his feather,at my window,"crisp morning air
a bird left his feather
at my window",en
9418,muggy night,a lizard on the window screen,- motionless,"muggy night
a lizard on the window screen
- motionless",en
9420,summer night breeze,each wish,on bamboo branches,"summer night breeze
each wish
on bamboo branches",en
9422,rain clouds,fragrance of,sweet basil,"rain clouds
fragrance of
sweet basil",en
9424,hunter's moon --,the end of the path,darker,"hunter's moon --
the end of the path
darker",en
9426,after the guests leave,the lilies,open,"after the guests leave
the lilies
open",en
9428,grey sky,a monarch butterfly,lost in autumn,"grey sky
a monarch butterfly
lost in autumn",en
9431,frost,on the spent firework casing,new year's day,"frost
on the spent firework casing
new year's day",en
9433,winter park -,white wings and blue lights,flashing,"winter park -
white wings and blue lights
flashing",en
9435,photo archive,the ice skaters' grins,frozen in time,"photo archive
the ice skaters' grins
frozen in time",en
9437,a wasp,struggling in the web,last apples,"a wasp
struggling in the web
last apples",en
9439,clematis climbing,climbing through,the climbing rose,"clematis climbing
climbing through
the climbing rose",en
9441,fifteen elephants -,after the storm,the cockerels waking ,"fifteen elephants -
after the storm
the cockerels waking ",en
9442,anti social behaviour -,all night the wind,kicks a can around,"anti social behaviour -
all night the wind
kicks a can around",en
9444,day long weeding,the last dandelion,under my bench ,"day long weeding
the last dandelion
under my bench ",en
9445,lazy rain,the solitary blackbird's,dawn chorus,"lazy rain
the solitary blackbird's
dawn chorus",en
9447,last light,on the allotment,the glow of a fag dimp,"last light
on the allotment
the glow of a fag dimp",en
9449,crushed shell,in the morning light,the snail's last movements,"crushed shell
in the morning light
the snail's last movements",en
9451,leading deeper,into the woods,just birdsong,"leading deeper
into the woods
just birdsong",en
9452,elevator,an ex's scent,hanging,"elevator
an ex's scent
hanging",en
9454,returning from night shift,my neighbour,and his cat,"returning from night shift
my neighbour
and his cat",en
9456,the old barn wall,with every missing brick,a swallows nest,"the old barn wall
with every missing brick
a swallows nest",en
9458,frosty morning,the steam rising from roofs,and my African coffee,"frosty morning
the steam rising from roofs
and my African coffee",en
9460,recycled,with each bottle,the same resolution,"recycled
with each bottle
the same resolution",en
9462,morning mizzle,the screech of a gull,far from the sea ,"morning mizzle
the screech of a gull
far from the sea ",en
9464,tinted windows -,through the gap,his fingers wriggle thanks,"tinted windows -
through the gap
his fingers wriggle thanks",en
9466,approaching storm,even the gate,has lost its squeak ,"approaching storm
even the gate
has lost its squeak ",en
9468,April 2nd,the snow,still lying ,"April 2nd
the snow
still lying ",en
9469,two dog walkers,meet -,two conversations,"two dog walkers
meet -
two conversations",en
9471,the broken panes,of the old greenhouse -,still the new shoots,"the broken panes
of the old greenhouse -
still the new shoots",en
9473,school fair,on the fireman's helmet,a faint smell of smoke,"school fair
on the fireman's helmet
a faint smell of smoke",en
9475,frozen dawn,the runner recovering,in his own steam ,"frozen dawn
the runner recovering
in his own steam ",en
9476,morning rush hour,at the side of the road,wild damsons,"morning rush hour
at the side of the road
wild damsons",en
9478,Caruso recording -,the gramophone crackle,lights the fires in his eye,"Caruso recording -
the gramophone crackle
lights the fires in his eye",en
9480,the police car slows -,suburban foxes,looting from bins,"the police car slows -
suburban foxes
looting from bins",en
9482,restless -,across the summer night,siren upon siren,"restless -
across the summer night
siren upon siren",en
9484,still the spent firework's,cordite smell -,nest of serpents,"still the spent firework's
cordite smell -
nest of serpents",en
9486,the name,I didn't want to see -,bitter coffee,"the name
I didn't want to see -
bitter coffee",en
9488,airborne again -,the roadkill's,feathers ,"airborne again -
the roadkill's
feathers ",en
9489,road trip,at the end of the argument,a patch of blue,"road trip
at the end of the argument
a patch of blue",en
9491,the heather still in bloom -,we take Mum the long way,back to the hospice,"the heather still in bloom -
we take Mum the long way
back to the hospice",en
9493,chuntering at something,the blackbird on the fence post,- election day,"chuntering at something
the blackbird on the fence post
- election day",en
9495,weaving its way,through the rush hour traffic,a white butterfly,"weaving its way
through the rush hour traffic
a white butterfly",en
9497,bringing only,silence,the storm cloud's weight,"bringing only
silence
the storm cloud's weight",en
9499,roadside memorial -,the faded plastic windmills,still racing,"roadside memorial -
the faded plastic windmills
still racing",en
9501,two minutes silence,the shifting light,of a windy day,"two minutes silence
the shifting light
of a windy day",en
9503,sea mist...,watching the seal,watching me,"sea mist...
watching the seal
watching me",en
9504,looking at,the mirror's reflection,is that really you ?,"looking at
the mirror's reflection
is that really you ?",en
9506,riverside promenade --,seniors stroll through,falling leaves,"riverside promenade --
seniors stroll through
falling leaves",en
