,0,1,2,haiku,lang
10937,3 h du matin --,dans les bruits de la pluie d'hiver,l'avion du courrier se pose,"3 h du matin --
dans les bruits de la pluie d'hiver
l'avion du courrier se pose",fr
10938,no wind tonight,across this reach of prairie,all those stars,"no wind tonight
across this reach of prairie
all those stars",en
10939,pas de vent ce soir,sur cette étendue de prairie,toutes ces étoiles,"pas de vent ce soir
sur cette étendue de prairie
toutes ces étoiles",fr
10940,sipping fresh cider--,both dippers,among the far stars,"sipping fresh cider--
both dippers
among the far stars",en
10941,goûtant le cidre jeune --,les deux godets,dans les étoiles lointaines,"goûtant le cidre jeune --
les deux godets
dans les étoiles lointaines",fr
10942,cool morning--,at the top of the rise,deer pass in the fog,"cool morning--
at the top of the rise
deer pass in the fog",en
10943,matin froid --,au sommet de la côte,un daim passe dans le brouillard,"matin froid --
au sommet de la côte
un daim passe dans le brouillard",fr
10944,meditation room--,books of wisdom,lean left . . . and right,"meditation room--
books of wisdom
lean left . . . and right",en
10945,(chambre de méditation --,des livres de sagesse,inclinés à gauche . . . et à droite),"(chambre de méditation --
des livres de sagesse
inclinés à gauche . . . et à droite)",fr
10946,turning north--,sand from both oceans,in little jars,"turning north--
sand from both oceans
in little jars",en
10947,de retour au nord --,du sable des deux oceans,dans de petites bouteilles,"de retour au nord --
du sable des deux oceans
dans de petites bouteilles",fr
10948,nearly 60 --,so many mountains around me,still unclimbed,"nearly 60 --
so many mountains around me
still unclimbed",en
10949,bientôt 60 ans --,tant de montagnes autour de moi,encore invaincues,"bientôt 60 ans --
tant de montagnes autour de moi
encore invaincues",fr
10950,a B-52,thunders over the bay--,blue heron lifting,"a B-52
thunders over the bay--
blue heron lifting",en
10951,un B-52,tonne sur la baie --,un héron bleu s'envole,"un B-52
tonne sur la baie --
un héron bleu s'envole",fr
10952,Sentinels of spring...,kites bobbing for attention,in saucy March winds,"Sentinels of spring...
kites bobbing for attention
in saucy March winds",en
10953,(Sentinelles du printemps...,les cerf-volants essayent de retenir l'attention,dans les vents impertinents de mars),"(Sentinelles du printemps...
les cerf-volants essayent de retenir l'attention
dans les vents impertinents de mars)",fr
10954,the crowd ,holding blossoms . . . ,thunder!,"the crowd 
holding blossoms . . . 
thunder!",en
10955,la foule,tenant des fleurs . . . ,tonnerre! ,"la foule
tenant des fleurs . . . 
tonnerre! ",fr
10956,sifting shadows,with remnants,of rain,"sifting shadows
with remnants
of rain",en
10957,des ombres vannant,avec des relents,de pluie,"des ombres vannant
avec des relents
de pluie",fr
10958,stars falling,from the sky . . .,autumn moon,"stars falling
from the sky . . .
autumn moon",en
10959,étoiles tombant,du ciel . . . ,lune d'automne,"étoiles tombant
du ciel . . . 
lune d'automne",fr
10960,making pancakes,between whispers . . .,morning mist,"making pancakes
between whispers . . .
morning mist",en
10961,je fais des crêpes,entre les chuchotements . . . ,brume du matin,"je fais des crêpes
entre les chuchotements . . . 
brume du matin",fr
10962,humid morning . . .,words dangle,from her lips,"humid morning . . .
words dangle
from her lips",en
10963,matin humide . . .,les mots se balancent,à tes lèvres,"matin humide . . .
les mots se balancent
à tes lèvres",fr
10964,humid night . . .,the darkness,between your thighs,"humid night . . .
the darkness
between your thighs",en
10965,nuit humide . . .,l'obscurité,entre tes collants,"nuit humide . . .
l'obscurité
entre tes collants",fr
10966,"upstairs, swathed","in neon, the",scent of jasmine,"upstairs, swathed
in neon, the
scent of jasmine",en
10967,"(en haut des escaliers, enveloppé","de neon, ",l'odeur du jasmin),"(en haut des escaliers, enveloppé
de neon, 
l'odeur du jasmin)",fr
10968,lanternless night . . .,a whisper passing,through leaves,"lanternless night . . .
a whisper passing
through leaves",en
10969,nuit sans lanterne . . .,un chuchotement passe,à travers les feuilles,"nuit sans lanterne . . .
un chuchotement passe
à travers les feuilles",fr
10970,a slower,moon this evening . . .,the cold!,"a slower
moon this evening . . .
the cold!",en
10971,(une plus lente,lune ce soir . . .,le froid !),"(une plus lente
lune ce soir . . .
le froid !)",fr
10972,autumn depths . . .,a mole dreaming,of darkness,"autumn depths . . .
a mole dreaming
of darkness",en
10973,profondeurs de l'automne . . .,une taupe rêve,de ténèbres,"profondeurs de l'automne . . .
une taupe rêve
de ténèbres",fr
10974,the egg seller . . .,her cracked hands,speak of winter,"the egg seller . . .
her cracked hands
speak of winter",en
10975,la vendeuse d'oeufs . . . ,ses mains craquelées,parlent d'hiver,"la vendeuse d'oeufs . . . 
ses mains craquelées
parlent d'hiver",fr
10976,high noon . . .,young girls harvest,rice from a mirror,"high noon . . .
young girls harvest
rice from a mirror",en
10977,midi . . .,des jeunes filles récoltent,le riz d'un miroir,"midi . . .
des jeunes filles récoltent
le riz d'un miroir",fr
10978,"after the storm,",an egret fording,darkness,"after the storm,
an egret fording
darkness",da
10979,"(après la tempête,",une aigrette traverse le gué,de l'obscurité),"(après la tempête,
une aigrette traverse le gué
de l'obscurité)",fr
10980,early spring . . .,young women collecting,peach blossoms,"early spring . . .
young women collecting
peach blossoms",en
10981,début du printemps . . .,de jeunes femmes ramassent,des fleurs de pêcher,"début du printemps . . .
de jeunes femmes ramassent
des fleurs de pêcher",fr
10982,after midnight . . .,a shooting star beneath,the wharf,"after midnight . . .
a shooting star beneath
the wharf",en
10983,après minuit . . . ,une étoile filante sous,le quai,"après minuit . . . 
une étoile filante sous
le quai",fr
10984,mid-summer . . .,she shares with me,a ripe melon!,"mid-summer . . .
she shares with me
a ripe melon!",en
10985,mi-été . . . ,elle partage avec moi,un melon mûr !,"mi-été . . . 
elle partage avec moi
un melon mûr !",fr
10986,no longer a,"mirror, this lake chasing",geese into darkness,"no longer a
mirror, this lake chasing
geese into darkness",en
10987,plus un,"miroir, ce lac chasse",les oies vers l'obscurité,"plus un
miroir, ce lac chasse
les oies vers l'obscurité",fr
10988,almost summer . . .,eating an especially,ripe mango,"almost summer . . .
eating an especially
ripe mango",en
10989,gusts of wind,dancing together under,a harvest moon,"gusts of wind
dancing together under
a harvest moon",en
10990,coups de vent,danser ensemble sous,une lune des moissons,"coups de vent
danser ensemble sous
une lune des moissons",fr
10991,the fullness,of ripe melons . . .,this summer moon,"the fullness
of ripe melons . . .
this summer moon",en
10992,la pleinitude,des melons mûrs . . .,cette lune d'été,"la pleinitude
des melons mûrs . . .
cette lune d'été",fr
10993,summer leaves . . .,remembering,mother's dry skin,"summer leaves . . .
remembering
mother's dry skin",en
10994,feuilles d'été . . .,je me souviens,de la peau sèche de maman,"feuilles d'été . . .
je me souviens
de la peau sèche de maman",fr
10995,"a mountain,",the stone buddha . . .,and cold food,"a mountain,
the stone buddha . . .
and cold food",en
10996,"une montagne,",le bouddha de pierre . . . ,et la nourriture froide,"une montagne,
le bouddha de pierre . . . 
et la nourriture froide",fr
10997,daybreak,your kiss on the lip,of a coffee cup,"daybreak
your kiss on the lip
of a coffee cup",en
10998,point du jour,ton baiser sur le bord,d'une tasse de café,"point du jour
ton baiser sur le bord
d'une tasse de café",fr
10999,the full moon,and a rice field,planted with stars,"the full moon
and a rice field
planted with stars",en
11000,la pleine lune,et une rizière,plantée d'étoiles,"la pleine lune
et une rizière
plantée d'étoiles",fr
11001,day moon . . .,a paper lantern floating,down river,"day moon . . .
a paper lantern floating
down river",en
11002,(lune de jour . . .,une lanterne de papier s'en va,au fil de la rivière),"(lune de jour . . .
une lanterne de papier s'en va
au fil de la rivière)",fr
11003,kissing you,under a paper moon . . .,the stars!,"kissing you
under a paper moon . . .
the stars!",en
11004,t'embrassant,sous une lune de papier . . .,les étoiles !,"t'embrassant
sous une lune de papier . . .
les étoiles !",fr
11005,cool morning . . .,your smile pasted on,a coffee cup,"cool morning . . .
your smile pasted on
a coffee cup",en
11006,matin froid . . .,ton sourire reste sur,une tasse de café,"matin froid . . .
ton sourire reste sur
une tasse de café",fr
11007,a monkey listens,to his own breath . . .,autumn rain,"a monkey listens
to his own breath . . .
autumn rain",en
11008,un singe écoute,sa propre respiration . . .,pluie d'automne,"un singe écoute
sa propre respiration . . .
pluie d'automne",fr
11009,watching,my wife's ashes float by. . .,autumn moon,"watching
my wife's ashes float by. . .
autumn moon",en
11010,(je regarde,les cendres de ma femme s'en aller au fil de l'eau. . .,lune de printemps),"(je regarde
les cendres de ma femme s'en aller au fil de l'eau. . .
lune de printemps)",fr
11011,memories of you,in rice field shadows . . .,september moon,"memories of you
in rice field shadows . . .
september moon",en
11012,souvenirs de toi,dans les ombres du champ de riz . . .,lune de septembre,"souvenirs de toi
dans les ombres du champ de riz . . .
lune de septembre",fr
11013,incoming tide . . .,your breasts,rise and fall,"incoming tide . . .
your breasts
rise and fall",en
11014,marée montante . . .,tes seins,montent et descendent,"marée montante . . .
tes seins
montent et descendent",fr
11015,humid morning . . .,planting rice in a,field of mirrors,"humid morning . . .
planting rice in a
field of mirrors",en
11016,matin humide . . .,on plante du riz dans un,champ de miroirs,"matin humide . . .
on plante du riz dans un
champ de miroirs",fr
11017,your reflection,floating in a tea cup,too hot to drink,"your reflection
floating in a tea cup
too hot to drink",en
11018,ton reflet,flotte dans la tasse de thé,trop chaud pour boire,"ton reflet
flotte dans la tasse de thé
trop chaud pour boire",fr
11019,harvest moon . . .,a new song in,the rice field,"harvest moon . . .
a new song in
the rice field",en
11020,lune des moissons . . .,un chant nouveau dans,la rizière,"lune des moissons . . .
un chant nouveau dans
la rizière",fr
11021,a laborer,sowing dreams,in a field of stars,"a laborer
sowing dreams
in a field of stars",en
11022,un laboureur,sème des rêves,dans un champ d'étoiles,"un laboureur
sème des rêves
dans un champ d'étoiles",fr
11023,"come morning,",fish scales and the letter,you didn't send,"come morning,
fish scales and the letter
you didn't send",en
11024,matin ....,les écailles de poisson et la lettre,que tu n'as pas envoyée,"matin ....
les écailles de poisson et la lettre
que tu n'as pas envoyée",fr
11025,laborers sink,into the rice field,.. . . autumn dusk,"laborers sink
into the rice field
.. . . autumn dusk",en
11026,les laboureurs s'enfoncent,dans la rizière,. . . crépuscule d'automne,"les laboureurs s'enfoncent
dans la rizière
. . . crépuscule d'automne",fr
11027,lanternless night . . .,a woman too old,to dream,"lanternless night . . .
a woman too old
to dream",en
11028,nuit sans lanterne . . .,une femme trop vieille,pour rêver,"nuit sans lanterne . . .
une femme trop vieille
pour rêver",fr
11029,almost dawn,. . . a young girl,gathering eggs,"almost dawn
. . . a young girl
gathering eggs",tl
11030,bientôt l'aube,. . . une jeune gamine,rassemblant des oeufs,"bientôt l'aube
. . . une jeune gamine
rassemblant des oeufs",fr
11031,morning haze . . .,a post office clerk,opening letters,"morning haze . . .
a post office clerk
opening letters",en
11032,brume du matin . . .,un employé du bureau de poste,ouvrant les lettres,"brume du matin . . .
un employé du bureau de poste
ouvrant les lettres",fr
11033,morning twilight,. . . the rice field,in her eyes,"morning twilight
. . . the rice field
in her eyes",en
11034,aube naissante,. . . le champ de riz,dans ses yeux,"aube naissante
. . . le champ de riz
dans ses yeux",fr
11035,sunday morning . . .,her shadow,on a clothesline,"sunday morning . . .
her shadow
on a clothesline",en
11036,dimanche matin . . .,son ombre,sur le linge qui sèche,"dimanche matin . . .
son ombre
sur le linge qui sèche",fr
11037,harvest moon . . .,a shadow,sorting laundry,"harvest moon . . .
a shadow
sorting laundry",en
11038,lune des moissons . . .,une ombre,triant la lessive,"lune des moissons . . .
une ombre
triant la lessive",fr
